Physical Time (s),enth_flux_pressure_right Monitor (kg-m/s^3): right_cv1,enth_flux_pressure_right Monitor (kg-m/s^3): right_cv2,enth_flux_pressure_right Monitor (kg-m/s^3): right_cv3,enth_flux_pressure_right Monitor (kg-m/s^3): right_cv4,enth_flux_pressure_right Monitor (kg-m/s^3): right_cv5,enth_flux_pressure_right Monitor (kg-m/s^3): right_cv6,enth_flux_pressure_right Monitor (kg-m/s^3): right_cv7
5.063e-05,0.30925758855650098,0.00087745377594520028,2.2085154137224905e-05,1.0632556449630489e-05,9.3061915467795994e-06,9.0082649504121678e-06,8.9745721310825453e-06
0.00010127,2.091652334448324,0.0044463600231473468,6.7598115844799505e-05,3.1329904720687186e-05,2.7679693779983174e-05,2.6948384679665895e-05,2.6874482090149682e-05
0.00015191,6.5764362261393483,0.019330655576831651,0.00017461056776878659,7.7866863289078017e-05,6.9505067556762287e-05,6.7956382810615954e-05,6.7809976364093796e-05
0.00020254,13.525024544951684,0.077077257243243297,0.0004339136061538094,0.0001786858084915653,0.00015990434520699002,0.00015669378452527825,0.0001564115469144526
0.00025318,20.872901831079275,0.26887848664735814,0.0010460774535871306,0.00037723298683086293,0.00033611526350860779,0.00032959546715099575,0.00032904959828885172
0.00030381,25.858041326275838,0.8003704049609015,0.0024883834982294588,0.00071768532944844891,0.00062876388651428848,0.00061581620567454634,0.00061483483705651533
0.00035444,26.365027134591433,2.0156105544336795,0.0060546960463489933,0.0013240986409575673,0.0011341550351290342,0.0011091473962721475,0.0011074748591602488
0.00040508,22.138203173943491,4.321319214728593,0.014970049119098931,0.0023821502032746709,0.0019811843745280297,0.0019339834164028493,0.001931158177363515
0.00045571,15.008753653483085,7.9784363073422693,0.036977599262593502,0.0041757721796492368,0.0033260077371860316,0.0032381870818022707,0.0032334945157634406
0.00050635,7.4550098176348909,12.85624991774927,0.089699419681237361,0.0072075507165155839,0.0053785680518508763,0.0052139036303543882,0.0052061741460053051
0.00055698,0.97386436632295603,18.265954265910374,0.20980857295011368,0.012451381375507456,0.0084745079777408822,0.0081597222227991449,0.0081468605515366728
0.00060762,-4.038274901011607,22.991891040733222,0.46527477705424281,0.021811050937838979,0.013161969124365527,0.012555966249991809,0.012534624375604472
0.00065825,-7.6429192393547911,25.601860633618401,0.96723281828502006,0.038938240294351112,0.020293507487503214,0.019118001861072216,0.019082833064872674
0.00070889,-9.9823364263360048,24.964528172538841,1.8733466800145411,0.070579101305943429,0.031108412815709113,0.028810831685488529,0.028752287329609442
0.00075952,-11.189775961514137,20.737473260209093,3.367695824898512,0.12905200329393157,0.047666068364273659,0.043157635435095668,0.043059439954403714
0.00081016,-11.410461109099415,13.625254519703983,5.6079779050427909,0.2350533411604101,0.072874730261565906,0.064049307663112676,0.063883401700247089
0.0008608,-10.798132420889029,5.1237032991680236,8.6433094012328731,0.42139414610072479,0.11105913472285954,0.093953847612253838,0.093671448116161765
0.00091143,-9.5049421846342685,-3.1226478889456164,12.328352109879614,0.73659778097405459,0.16862177312344076,0.13598042225287063,0.13549584621290328
0.00096207,-7.6837831342803691,-9.9042020857118427,16.260496035326923,1.2467161757758909,0.25511605532026832,0.1941087345101325,0.193272768764995
0.0010127,-5.4968043675619116,-14.637635350432944,19.780351015827744,2.0317066650028357,0.38429002607290791,0.27310466908623887,0.27165617727164004
0.00106333,-3.12106682017057,-17.248233682202393,22.061444140813279,3.1736017346610685,0.57485398301488622,0.37809960697731565,0.37558811168662376
0.00111397,-0.73649310668482237,-17.92996070990554,22.300812346988867,4.7364713167689967,0.8522006499471384,0.5152104798652426,0.5108680040525877
0.0011646,1.4891014955599182,-16.976756076891647,19.965407679325647,6.7399797516497184,1.2480068980128851,0.69054152352945541,0.6830796456476026
0.00121524,3.422854392163126,-14.701278639348732,14.993721616124617,9.1293403321994848,1.7995755113541669,0.91023677356787691,0.89753136414077583
0.00126588,4.9767267916646265,-11.420027514151254,7.9158976171668662,11.749071615081085,2.5454426151716127,1.1791431787242272,1.1577762639569902
0.00131651,6.1103207210656505,-7.4731973966941769,-0.19596468431107977,14.335826933602114,3.5202566554508774,1.5007665467887754,1.4653913908061815
0.00136714,6.8248512358178228,-3.2263994215537126,-7.9929303024230727,16.534255806000779,4.7447714212748977,1.8759453956009309,1.8183392465177219
0.00141778,7.1521772725250683,0.94116484999703554,-14.217506485619289,17.950198030760671,6.2167619775951639,2.3019637224411378,2.2099553647771235
0.00146842,7.1501946281656403,4.6735289239871252,-18.02434708293659,18.214877521004595,7.9011455786998024,2.7722839007948208,2.6283576354315068
