Physical Time (s),phi_alt_flux_bot Monitor (kg-m/s^3): bot_cv1,phi_alt_flux_bot Monitor (kg-m/s^3): bot_cv2,phi_alt_flux_bot Monitor (kg-m/s^3): bot_cv3,phi_alt_flux_bot Monitor (kg-m/s^3): bot_cv4,phi_alt_flux_bot Monitor (kg-m/s^3): bot_cv5,phi_alt_flux_bot Monitor (kg-m/s^3): bot_cv6,phi_alt_flux_bot Monitor (kg-m/s^3): bot_cv7
0.00111397,-1.3212121966876437e-06,-1.600174902888312e-06,-2.4236826633289932e-06,-2.4816207872565169e-06,-2.4749076900622048e-06,-2.4747260603954808e-06,-2.4747263297163335e-06
0.0011646,1.8716896481992133e-07,-1.2369868821746018e-08,-9.9195440765142835e-07,-1.1466029948014651e-06,-1.1360765835281827e-06,-1.1356478368742706e-06,-1.135648385469788e-06
0.00121524,8.0567569861796857e-07,6.7708280627470034e-07,-3.6789460426448945e-07,-6.6066541933591315e-07,-6.4781900696754327e-07,-6.4688404413555464e-07,-6.4688511219746159e-07
0.00126588,6.6028383691760175e-08,-1.1897289441674339e-08,-1.0049618991795988e-06,-1.4695645931361422e-06,-1.460691056520157e-06,-1.4588267596436744e-06,-1.4588287312765953e-06
0.00131651,-1.415749633983106e-06,-1.4642299525194261e-06,-2.2751797473271285e-06,-2.8978343388804724e-06,-2.9063068931003234e-06,-2.9029448249174559e-06,-2.9029482569431749e-06
0.00136714,-2.6749840140808659e-06,-2.7191433064304199e-06,-3.2563812258508698e-06,-3.9639896452542269e-06,-4.0102568692866703e-06,-4.0048638110382856e-06,-4.0048693618787464e-06
0.00141778,-3.5618290697971222e-06,-3.6043987513268802e-06,-3.8669614923122046e-06,-4.565301800535744e-06,-4.672635937923228e-06,-4.6651505866836038e-06,-4.665158756971433e-06
0.00146842,-3.4873408038431094e-06,-3.4855647161474604e-06,-3.5752463476700257e-06,-4.1721383482615596e-06,-4.3594998796193221e-06,-4.3511316111680379e-06,-4.3511413159065978e-06
0.00151905,-2.5116834090936212e-06,-2.4503770566288636e-06,-2.4711128893920013e-06,-2.9085212803476154e-06,-3.1799017650982111e-06,-3.1738963875505807e-06,-3.1739040319553868e-06
0.00156968,-1.2632809484154906e-06,-1.2677079324730119e-06,-1.2246513495594713e-06,-1.5008837967196417e-06,-1.8384112906885388e-06,-1.8404760224382596e-06,-1.840473449697489e-06
0.00162032,-2.0410069525137779e-07,-4.4703243219464164e-07,-3.4644547414471878e-07,-5.0652543743068765e-07,-8.7500889080037524e-07,-8.9282500973289773e-07,-8.9279629759434371e-07
0.00167096,5.1713480102253586e-07,-5.122895619939959e-08,1.2696083417611039e-08,-8.5534931603405618e-08,-4.4112618844472191e-07,-4.8264920347532367e-07,-4.8256701610452454e-07
0.00172159,9.4432726035647466e-07,9.9992911830383571e-08,-4.1621977284802139e-08,-1.0929204821537214e-07,-4.1238918143876105e-07,-4.8309268412282657e-07,-4.8291431747593015e-07
0.00177222,1.1926221237447704e-06,2.2374102508221178e-07,-2.7823640798981853e-07,-3.1677600048872234e-07,-5.4464402844151231e-07,-6.4631137805156752e-07,-6.4594860182304925e-07
0.00182286,1.2357838868371268e-06,2.9964789692649846e-07,-6.0802205515347062e-07,-6.2168229922759158e-07,-7.6795720397690636e-07,-8.9363505665926291e-07,-8.9306203900625218e-07
0.00187349,1.2642120066312871e-06,4.761440101100828e-07,-7.7225299640964119e-07,-7.862160380678767e-07,-8.5991151798755865e-07,-9.9719753527537466e-07,-9.9641553717879154e-07
0.00192413,1.2516603867984148e-06,6.630244153735466e-07,-7.7809961166455386e-07,-8.3236187911307028e-07,-8.4798567122268706e-07,-9.8120213964772933e-07,-9.8029320254395129e-07
0.00197476,1.1383515680477666e-06,7.401349410974877e-07,-7.2137424980711246e-07,-8.5130697216461767e-07,-8.2259940158205893e-07,-9.3564179620527757e-07,-9.3484867308790433e-07
0.0020254,9.4191620729899242e-07,6.9356830421382735e-07,-6.48395017696738e-07,-8.6740774850034733e-07,-8.0791933882420962e-07,-8.8783607227528251e-07,-8.8752940812215997e-07
0.00207603,7.1939719303144899e-07,5.7131339010203223e-07,-5.6670668633046357e-07,-8.7203078076569135e-07,-7.9839948737217897e-07,-8.3877681345144387e-07,-8.3911281373326545e-07
0.00212667,5.0751526248987621e-07,4.1794822860958588e-07,-4.9246269559530009e-07,-8.539950785776152e-07,-7.8655814792537685e-07,-7.847426557192482e-07,-7.8583524234662314e-07
0.00217731,3.3516203051455758e-07,2.7341374669206398e-07,-4.2520546545474663e-07,-8.008378135023588e-07,-7.5658881285096091e-07,-7.1138791285780304e-07,-7.1369475978953803e-07
0.00222794,2.2684685489046162e-07,1.7143906388343786e-07,-3.5791619077614504e-07,-7.1006639630347121e-07,-6.9769523239385938e-07,-6.1067388118084233e-07,-6.1493981062773794e-07
0.00227858,1.9162762650667673e-07,1.2557845754512158e-07,-2.9189649367150919e-07,-5.9934253716843574e-07,-6.2130970179958091e-07,-5.0107444484704714e-07,-5.0725280941349662e-07
0.00232921,2.249322330619613e-07,1.3390095555071941e-07,-2.2650577385199735e-07,-4.813488234936035e-07,-5.3050566270568119e-07,-3.9169848321583934e-07,-3.9911449828668703e-07
0.00237984,3.157025794192291e-07,1.89315991184813e-07,-1.6522102733310903e-07,-3.7393189123530151e-07,-4.3933331496121019e-07,-3.0434694870919002e-07,-3.1108156682603163e-07
0.00243048,4.4502944909670265e-07,2.8263457313850058e-07,-1.0414306318073367e-07,-2.7562272710391365e-07,-3.4347198797963061e-07,-2.2213745620766668e-07,-2.2709069339351571e-07
0.00248111,6.0413174401576098e-07,4.0768193896187372e-07,-4.4818484672445382e-08,-1.9185024310144071e-07,-2.5223168282970921e-07,-1.5793657641286383e-07,-1.5944855311600376e-07
0.00253175,7.7119467671472215e-07,5.4896295295479484e-07,1.0282310185989058e-08,-1.2526856386072813e-07,-1.7228270282592474e-07,-1.1077999954943622e-07,-1.0819450786646839e-07
0.00258238,9.2810890135837281e-07,6.9178772450013826e-07,5.7782511047313072e-08,-7.8228799111260283e-08,-1.1129528722382512e-07,-8.2152193917431753e-08,-7.6255828792945794e-08
0.00263302,1.0606367653710607e-06,8.2248617700593972e-07,9.6357344456273565e-08,-5.170382324403418e-08,-7.3199957680171741e-08,-7.0248325571747923e-08,-6.3560961855090838e-08
0.00268366,1.155873332762097e-06,9.2683571558220325e-07,1.2278980443341456e-07,-4.5643118246479876e-08,-6.0777119380453448e-08,-7.3755910781200044e-08,-6.9824523787299305e-08
0.00273429,1.2165259547986098e-06,1.00344016079587e-06,1.4167147130530764e-07,-5.365082256006615e-08,-6.7241422908002573e-08,-8.6362741894649941e-08,-8.9465084938921332e-08
0.00278492,1.2230121967320958e-06,1.0281055699055194e-06,1.3546592692242791e-07,-8.8349302573715191e-08,-1.0461671405954015e-07,-1.2049072105339056e-07,-1.3209080642627195e-07
0.00283556,1.1901540420744334e-06,1.0113975383470611e-06,1.1128066314707557e-07,-1.3934314449281531e-07,-1.6135604210819411e-07,-1.6907000424358564e-07,-1.8857102600377249e-07
0.00288619,1.1255736248295776e-06,9.5953181275030546e-07,7.1105076864920627e-08,-2.009730696960328e-07,-2.299362954783056e-07,-2.294928945269205e-07,-2.5203169145265658e-07
0.00293683,1.0301758210627875e-06,8.7461163032625179e-07,1.4089592910105977e-08,-2.6960608013976442e-07,-3.0471193400883583e-07,-2.9922056685632574e-07,-3.1370620502992008e-07
0.00298746,9.3224124086345399e-07,7.7965202200391313e-07,-4.896504506492266e-08,-3.3853953275066692e-07,-3.7915975688812053e-07,-3.7410503319715792e-07,-3.7538948395040327e-07
0.0030381,8.430820507976391e-07,6.8606534024494291e-07,-1.1503197904127414e-07,-4.0690217868584907e-07,-4.5287616900345133e-07,-4.5190643608114694e-07,-4.3919985376978371e-07
0.00308874,7.6248340185589284e-07,5.949779602045105e-07,-1.842240529042663e-07,-4.7457893975865461e-07,-5.2538553606704173e-07,-5.3003664755644311e-07,-5.0258068535592429e-07
0.00313937,7.0363755874583803e-07,5.1828919654961709e-07,-2.526401205912295e-07,-5.4307929555781037e-07,-6.0010059405787312e-07,-6.0853783466672134e-07,-5.7488407226512727e-07
0.00319001,6.6803698376470326e-07,4.586716649809457e-07,-3.1877461142702757e-07,-6.1316389227505246e-07,-6.7822311780505847e-07,-6.8727329432114468e-07,-6.5806307463869565e-07
0.00324064,6.3426821259443258e-07,4.0251449239514893e-07,-3.8543899960479435e-07,-6.8019917032957726e-07,-7.5063638406307517e-07,-7.6008608410577955e-07,-7.3194396188685773e-07
0.00329127,6.1293240138993606e-07,3.5924807746543667e-07,-4.4957764298398335e-07,-7.4696936925783541e-07,-8.2219622947265912e-07,-8.3044437065533175e-07,-8.0813514781116264e-07
0.00334191,6.083669970133359e-07,3.3286740674070697e-07,-5.0966338463380375e-07,-8.1543475310146451e-07,-8.9618456454847618e-07,-9.0227140791886596e-07,-8.9316482327270984e-07
