Physical Time (s),enth_flux_pressure_left Monitor (kg-m/s^3)
5.063e-05,0.00014601711488961564
0.00010127,0.00055723762836068481
0.00015191,0.0017500820845773478
0.00020254,0.0051085691580894039
0.00025318,0.014033144798317913
0.00030381,0.03616293164278013
0.00035444,0.087814292400162752
0.00040508,0.20257875508878365
0.00045571,0.44356951630145997
0.00050635,0.91939064397572512
0.00055698,1.7955855645807577
0.00060762,3.2899474146039802
0.00065825,5.6368407365292823
0.00070889,9.0180088162575807
0.00075952,13.45888884673203
0.00081016,18.716335299425552
0.0008608,24.214758966153518
0.00091143,29.066998234216904
0.00096207,32.187968564446834
0.0010127,32.524508018479629
0.00106333,29.360988992134608
0.00111397,22.738337868914122
0.0011646,13.096801948085034
0.00121524,1.6155336058302272
0.00126588,-10.076582199244342
0.00131651,-20.224718817524192
0.00136714,-27.40250116084097
0.00141778,-30.889846850149183
0.00146842,-30.740522681031742
0.00151905,-27.863474174338549
0.00156968,-23.046929117092937
0.00162032,-17.245919034564036
0.00167096,-11.356398567176385
0.00172159,-6.0858393759131708
0.00177222,-1.8442585235420506
0.00182286,1.1910085587380443
0.00187349,3.0131401880085602
0.00192413,3.7169116985966499
0.00197476,3.5876556016962842
0.0020254,2.8071983687286846
0.00207603,1.6292790250427363
0.00212667,0.30835945766735706
0.00217731,-0.92178438006202945
0.00222794,-1.8968761020359435
0.00227858,-2.5336778907447903
0.00232921,-2.8190677220200833
0.00237984,-2.8037243212569369
0.00243048,-2.5711648614473992
0.00248111,-2.1576307291761339
0.00253175,-1.623607338834804
0.00258238,-1.0182491252644525
0.00263302,-0.37840063668935386
0.00268366,0.27997511991899932
0.00273429,0.94839655305040926
0.00278492,1.6230911126998486
0.00283556,2.2831644668660855
0.00288619,2.9146972094846468
0.00293683,3.4820685785323082
0.00298746,3.9533008418217528
0.0030381,4.2976650037219954
0.00308874,4.48980239170485
0.00313937,4.5125039808979714
0.00319001,4.3652153845644142
0.00324064,4.0788355379922381
0.00329127,3.6693688839691592
0.00334191,3.1701674340905921
0.00339254,2.6279372211973278
0.00344318,2.0885615490058189
0.00349381,1.5949758454127108
0.00354445,1.1801835024476806
0.00359509,0.86664637486492113
0.00364572,0.66441443645496967
0.00369636,0.57197597711421633
0.00374699,0.58019738269252574
0.00379762,0.67234858946934151
0.00384826,0.82626261937815682
0.00389889,1.0161305227728308
0.00394953,1.2126674180939183
0.00400016,1.393684099180863
0.0040508,1.5392264889882088
0.00410143,1.6338693710914145
0.00415207,1.6688035566403312
0.00420271,1.6422172010775857
0.00425334,1.5609816721992367
0.00430397,1.4393675281040004
0.00435461,1.2965290700169416
0.00440524,1.1545849740715934
0.00445588,1.0340491875899742
0.00450651,0.95362171131502294
0.00455715,0.9276577699276185
0.00460778,0.96424562920874179
0.00465842,1.0623845187684413
0.00470906,1.2147999703018977
0.00475969,1.4077763560752046
0.00481032,1.6220014725777907
0.00486096,1.834493401227113
0.00491159,2.0208119227816939
0.00496223,2.15839602304766
0.00501287,2.2291195753032733
0.0050635,2.2216420038794906
0.00511413,2.1321254409318322
0.00516477,1.9639341939202053
0.00521541,1.7256278566718883
0.00526604,1.4305587452519783
0.00531667,1.0956516972110437
0.00536731,0.739188719425105
0.00541794,0.37927677031817286
0.00546858,0.032248067175987952
0.00551922,-0.28887702624407818
0.00556985,-0.57481989245192089
0.00562048,-0.82039016752567717
0.00567112,-1.0239976221006446
0.00572176,-1.1866781300864946
0.00577239,-1.3110237798502322
0.00582302,-1.4003415108451738
0.00587366,-1.457599079334273
0.00592429,-1.4848794062113315
0.00597493,-1.4830459079749863
0.00602557,-1.4509984159148017
0.0060762,-1.3870964693491552
0.00612683,-1.2885498013450714
0.00617747,-1.1527155948008234
0.00622811,-0.97714921204137761
0.00627874,-0.76021956617229436
0.00632937,-0.50025601478708315
0.00638001,-0.19759819096896158
0.00643064,0.14582167439297072
0.00648128,0.52657679737004848
0.00653192,0.93936304928700265
0.00658255,1.3768341938331159
0.00663318,1.8303179454171215
0.00668382,2.2900926203112171
0.00673445,2.7451443605828838
0.00678509,3.1834879981016111
0.00683572,3.5921681403924288
0.00688636,3.9577118183592956
0.00693699,4.2665458726128183
0.00698763,4.505096997010293
0.00703827,4.6612410517905492
0.0070889,4.7242633017370945
0.00713953,4.685460606771672
0.00719017,4.5390232461927118
0.0072408,4.2838166833518931
0.00729144,3.921339139806765
0.00734207,3.4569729283305257
0.00739271,2.8996675122144202
0.00744334,2.2619844201973356
0.00749398,1.5597783489140826
0.00754462,0.81212234346020673
0.00759525,0.041080260181380814
0.00764588,-0.72939545895390445
0.00769652,-1.4743513162379684
0.00774715,-2.1692037014923535
0.00779779,-2.7903097241600792
0.00784842,-3.3156827990647133
0.00789906,-3.7274708205834748
0.00794969,-4.0120440761691389
0.00800033,-4.1605759456551397
0.00805097,-4.1691228122040087
0.0081016,-4.0426216735491467
0.00815223,-3.78975536756632
0.00820287,-3.4226352552165795
0.0082535,-2.9586099959181595
0.00830414,-2.4186016116818183
0.00835478,-1.8258559067022992
