Physical Time (s),ev_bot Monitor (kg-m/s^3): bot_cv1,ev_bot Monitor (kg-m/s^3): bot_cv2,ev_bot Monitor (kg-m/s^3): bot_cv3,ev_bot Monitor (kg-m/s^3): bot_cv4,ev_bot Monitor (kg-m/s^3): bot_cv5,ev_bot Monitor (kg-m/s^3): bot_cv6,ev_bot Monitor (kg-m/s^3): bot_cv7
0.00146842,-1.334913609870701e-06,-1.2457375587549658e-06,-1.1830357546334841e-06,-1.8082938006290097e-06,-1.9150646571036287e-06,-1.9156579736327044e-06,-1.9156579735248522e-06
0.00151905,-6.9693254338751074e-07,-6.496863271489111e-07,-5.0190652711557984e-07,-8.6796981406506057e-07,-1.0036603990877436e-06,-1.0049738836650574e-06,-1.0049738832704393e-06
0.00156968,-2.5070509326432122e-07,-2.5111984611496938e-07,-1.1015957961212453e-07,-2.9652858426111206e-07,-4.4609624681974249e-07,-4.4868603906796053e-07,-4.4868603770165764e-07
0.00162032,-7.5797426065978199e-08,-1.2055063556850279e-07,-3.7563917377576141e-08,-1.1836794009630862e-07,-2.6208208191941541e-07,-2.6663849030997344e-07,-2.6663848583307535e-07
0.00167096,9.4188959422363087e-08,-5.4726325037634346e-08,-2.1791983426695314e-08,-4.6892761826853607e-08,-1.6856045881573258e-07,-1.7573637446308952e-07,-1.7573636063255604e-07
0.00172159,3.9339027635405951e-07,6.9594622678672193e-08,4.9055718158269187e-08,4.7007204137821311e-08,-4.5453382986618616e-08,-5.5622201212890159e-08,-5.5622160876883889e-08
0.00177222,6.9408896362198142e-07,2.1902468856827501e-07,7.768101661272145e-08,7.9624130647127197e-08,1.4801619340816356e-08,1.7331123634193295e-09,1.7332232986980241e-09
0.00182286,8.2079608144469644e-07,3.165966242914165e-07,-2.5367093005980368e-08,-2.4872048868982967e-08,-6.82217521032368e-08,-8.3637097337541866e-08,-8.3636810148561633e-08
0.00187349,7.4244566967828254e-07,3.3316095012674075e-07,-2.1164181118154887e-07,-2.1203311759537652e-07,-2.406515036812079e-07,-2.5762531556070967e-07,-2.5762461775865445e-07
0.00192413,5.4637937965863696e-07,2.8553689294017338e-07,-3.7086226915916935e-07,-3.7642122380559035e-07,-3.9573281995145053e-07,-4.1357128932776806e-07,-4.1356970026824256e-07
0.00197476,3.4423013041160926e-07,2.1012030488300156e-07,-4.2619053508237646e-07,-4.4759630221363329e-07,-4.6148223117631104e-07,-4.7985214717518272e-07,-4.7984876154178134e-07
