Physical Time (s),aphi_vol Monitor (kg-m/s^3): cv1,aphi_vol Monitor (kg-m/s^3): cv2,aphi_vol Monitor (kg-m/s^3): cv3,aphi_vol Monitor (kg-m/s^3): cv4,aphi_vol Monitor (kg-m/s^3): cv5,aphi_vol Monitor (kg-m/s^3): cv6,aphi_vol Monitor (kg-m/s^3): cv7
5.063e-05,0.54281921370979647,0.54281926209465736,0.54281926209487996,0.54281926209487996,0.54281926209487996,0.54281926209487996,0.54281926209487996
0.00010127,0.60498437020850748,0.60498552608071987,0.60498552608854905,0.60498552608854905,0.60498552608854905,0.60498552608854905,0.60498552608854905
0.00015191,0.64252471880106232,0.6425342317160796,0.64253423190621051,0.64253423190621084,0.64253423190621084,0.64253423190621084,0.64253423190621084
0.00020254,0.66338521710449461,0.66342228523752045,0.66342228834386163,0.6634222883438633,0.6634222883438633,0.6634222883438633,0.6634222883438633
0.00025318,0.66781563419225509,0.66789997918121491,0.66789999922279053,0.66789999922280385,0.66789999922280396,0.66789999922280396,0.66789999922280396
0.00030381,0.65435304306495679,0.65448231985835048,0.65448241292433051,0.65448241292444154,0.65448241292444165,0.65448241292444165,0.65448241292444165
0.00035444,0.62596479749048173,0.62611214063020282,0.62611250701117949,0.6261125070121244,0.62611250701212506,0.62611250701212506,0.62611250701212506
0.00040508,0.5872288582274261,0.58736751545679899,0.58736872121419403,0.58736872122210859,0.58736872122211148,0.58736872122211148,0.58736872122211148
0.00045571,0.54345744726316325,0.54357748615794532,0.54358067478418526,0.54358067484637917,0.54358067484639394,0.54358067484639405,0.54358067484639405
0.00050635,0.49961511140489168,0.49971654222604234,0.49972321242959011,0.49972321287125676,0.49972321287133403,0.49972321287133437,0.49972321287133437
0.00055698,0.45957789849528174,0.45966224426972757,0.45967330586457544,0.45967330861941053,0.45967330861981687,0.45967330861981814,0.45967330861981814
0.00060762,0.4259643111381447,0.42603381530365436,0.42604853729665115,0.42604855138278519,0.42604855138489928,0.42604855138490427,0.42604855138490427
0.00065825,0.40006504868078713,0.40012353092600633,0.40013977829614489,0.40013982441828549,0.40013982442895135,0.40013982442897172,0.40013982442897172
